Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.600,Part of this video was sponsored by LastPass. Stick around to the end for a,0.0
00:00:03.600,00:00:05.200,word from our sponsor.,0.0
00:00:05.200,00:00:07.902,Are negative ions good for you?,-0.2023
00:00:07.902,00:00:10.138,Normally I'd dismiss such a question out of hand.,0.4939
00:00:10.138,00:00:12.570,In fact that's exactly what I did when a friend brought,0.4939
00:00:12.570,00:00:15.809,it up about a month ago. But he was insistent he said no this is for real,-0.4215
00:00:15.809,00:00:17.000,there's science behind it.,0.0
00:00:17.000,00:00:21.000,And so I looked into it and I found this.,0.0
00:00:21.000,00:00:25.560,There are literally hundreds of published peer-reviewed scientific studies on the,0.0
00:00:25.560,00:00:28.220,biological effects of ions.,0.0
00:00:28.220,00:00:29.849,It's a body of research that begins about a century,0.0
00:00:29.849,00:00:33.060,ago and continues to the present day.,0.0
00:00:33.060,00:00:35.220,And this is just a fraction of it.,0.0
00:00:35.220,00:00:40.379,Now these studies aren't just about any old ions they're about atmospheric ions or air,0.0
00:00:40.379,00:00:45.300,"ions. And although the results are not uniform, they all begin with the premise",0.0
00:00:45.300,00:00:50.260,that positive ions make us feel bad and negative ions make us feel good.,-0.1779
00:00:50.260,00:00:56.040,So in this video I want to get to the bottom of this.,0.0772
00:00:59.000,00:01:00.960,These are Himalayan salt lamps.,0.0
00:01:00.960,00:01:04.650,"With the heat from the light bulb, it releases negative ions into the air and of",-0.5719
00:01:04.650,00:01:08.760,course negative ions are what you breathe in and produce the serotonin in,-0.5719
00:01:08.760,00:01:15.360,the body and in serotonin is like the primary neurotransmitter in your whole,0.3612
00:01:15.360,00:01:18.840,body and all living things and that's what makes you feel good...,0.4404
00:01:18.840,00:01:21.000,awesome.,0.6249
00:01:21.000,00:01:24.780,Can I jump in here for a second. When I first heard all this business,0.0
00:01:24.780,00:01:28.860,"about atmospheric ions, my first thought was 'why should we expect there to be",0.0
00:01:28.860,00:01:33.900,"many ions in the atmosphere at all?' I mean to recap, an ion is just an atom or",0.0
00:01:33.900,00:01:39.060,a molecule that has gained or lost an electron. If it loses an electron it's a,-0.25
00:01:39.060,00:01:43.590,positive ion. If it gains an electron it becomes a negative ion. But here's the,0.1655
00:01:43.590,00:01:47.820,thing: unlike charges attract. So moving about in the atmosphere I'd,0.1027
00:01:47.820,00:01:51.540,expect the positive and negative ions to find each other and then BOOM they're,-0.0258
00:01:51.540,00:01:53.580,back to being neutral.,0.0
00:01:54.000,00:01:58.049,"However, as it turns out there are some processes that",0.0
00:01:58.049,00:02:01.300,are constantly generating atmospheric ions.,0.0
00:02:01.300,00:02:03.509,For example cosmic rays. These are,0.0
00:02:03.509,00:02:08.160,highly energetic particles from across the universe that slam into our,0.1513
00:02:08.160,00:02:12.540,"atmosphere and transfer their energy to the air, creating ions in the process.",0.5106
00:02:12.540,00:02:17.430,Cosmic rays are thought to create around 500 ions per cubic,0.2732
00:02:17.430,00:02:21.269,centimeter at ground level. In fact they're the most significant source of,0.2716
00:02:21.269,00:02:24.000,ions generated over the oceans.,0.0
00:02:24.000,00:02:27.359,But here on land there are other sources of,0.0
00:02:27.359,00:02:32.220,"ionization, things like natural radioactivity.",0.6124
00:02:32.220,00:02:33.540,There are these long-lived,0.0
00:02:33.540,00:02:38.670,isotopes of uranium and thorium and their decay products that can spit out,-0.4019
00:02:38.670,00:02:42.600,"highly energetic particles in the form of alpha, beta and gamma rays.",0.4927
00:02:42.600,00:02:49.200,These ionize the air and they vary widely from place to place but they can contribute,0.0
00:02:49.200,00:02:54.000,hundreds up to many thousands of ions per cubic centimeter.,0.0
00:02:56.500,00:03:01.859,"If you were to recommend one of these to me that like has the most negative ions, er, which one",0.0018
00:03:01.859,00:03:02.640,do you think?,0.0
00:03:02.640,00:03:04.194,I would just go for which one's hottest. -yeah?,0.296
00:03:04.194,00:03:09.160,"Because it's the heat from the lightbulb that creates the heat, which makes the reaction in the salt.",0.2732
00:03:09.160,00:03:09.660,Got it.,0.0
00:03:12.000,00:03:16.939,Wow! This one's great. Yeah? This would just be perfect,0.9336
00:03:19.500,00:03:25.409,And then you have thunderstorms. Each lightning strike generates copious,-0.128
00:03:25.409,00:03:26.820,amounts of ions.,0.0
00:03:28.000,00:03:32.640,Perhaps one of the more surprising sources of negative ions is waterfalls.,-0.3197
00:03:32.640,00:03:37.110,As water droplets collide with each other or with wetted surfaces,-0.0772
00:03:37.110,00:03:42.629,"with high velocity, the water molecules create this electrified spray with",0.2732
00:03:42.629,00:03:46.333,negative ions that can be transferred to the air around it.,-0.5719
00:03:46.333,00:03:52.650,"Depending on your distance from the waterfall, ion levels can reach tens of thousands of ions per",0.0258
00:03:52.650,00:03:58.670,cubic centimeter. And the same effect occurs with ocean waves crashing on shore.,0.0
00:04:06.500,00:04:09.340,"Hello!  Hi Derek, how are you?",0.0
00:04:09.340,00:04:11.180,"Good, Can I give you that?  Sure.",0.6369
00:04:11.180,00:04:17.180,So what I want to know is how many negative ions are there coming off that lamp when it's on?,-0.483
00:04:17.180,00:04:24.810,We have a technique involving mass spectrometry that measures negative ions coming off,-0.5719
00:04:24.810,00:04:28.240,of solids and so we can give it a try.,0.0
00:04:28.240,00:04:31.820,Are you an ion expert?  I've been studying,0.0
00:04:31.820,00:04:36.660,ions for 55 years.  Whoa,0.0
00:04:36.720,00:04:38.639,And have written hundreds of papers on all,0.0
00:04:38.639,00:04:42.560,aspects of ions.,0.0
00:04:42.560,00:04:44.520,So this is my salt lamp. it's meant to give us lots of negative,-0.5719
00:04:44.520,00:04:47.939,ions. Can you tell me whether it's giving us some negative ions?,-0.3182
00:04:47.939,00:04:54.300,We're gonna have a look and the thing we're utilizing here is that the inlet to this mass,0.0
00:04:54.300,00:04:57.780,spectrometer is at atmospheric pressure and if there's ions there we'll be able,-0.296
00:04:57.780,00:05:03.090,to detect them. So this is like.. is it is it kind of like an electronic nose or,0.6086
00:05:03.090,00:05:08.940,"something for ions? sniffs the ions. - You could think of it as a nose for ions. Yeah, yeah, sniffs the ions. -OK",0.5267
00:05:08.940,00:05:13.350,The lamp is next to the ion sampling cone. I mean it's not on yet but we'll see,0.0
00:05:13.350,00:05:17.639,if there's any ions coming from it. -No so this display here this would be this,0.0
00:05:17.639,00:05:22.139,is our mass to charge axis here so how how heavy they are in molecular,0.0
00:05:22.139,00:05:26.520,weight essentially and if there's ions being formed we're gonna see some signal,0.0
00:05:26.520,00:05:29.720,"on this screen. -There'd be like some peaks? Some peaks, yeah",0.5719
00:05:30.500,00:05:32.010,Now does it need to warm up?,0.2263
00:05:32.010,00:05:34.860,"er -I think that's the idea, yeah.",0.296
00:05:34.860,00:05:38.610,Now there are some places that do naturally,0.0
00:05:38.610,00:05:44.419,"have lower concentrations of ions, namely the interiors of houses and businesses.",-0.296
00:05:44.419,00:05:49.020,Because these structures provide some shielding from the cosmic rays and from,0.0
00:05:49.020,00:05:54.000,the natural radioactivity. Plus if you have metal ducting and air,0.3612
00:05:54.000,00:05:58.349,"conditioning, well some of those charged ions will get stuck in the ducts",-0.1779
00:05:58.349,00:06:03.479,so typically levels inside homes and businesses can be as low as around 100,-0.2732
00:06:03.479,00:06:07.000,or 200 ions per cubic centimeter.,0.0
00:06:08.000,00:06:10.889,Ion concentrations are also typically lower,-0.296
00:06:10.889,00:06:16.229,"in polluted areas, in big cities or around factories. And that's because the",-0.4588
00:06:16.229,00:06:20.970,ions actually cling to those pollutants or the aerosols and so they,0.0
00:06:20.970,00:06:23.060,don't live as long in the atmosphere.,0.0
00:06:23.060,00:06:25.530,So the assertion that we live in,0.0
00:06:25.530,00:06:29.276,environments with fewer ions than our ancestors is true.,0.4215
00:06:29.276,00:06:34.590,If you're thinking that you feel better around waterfalls and oceans and after,0.4404
00:06:34.590,00:06:38.850,"thunderstorms than you do in polluted cities or around big factories, well",-0.2263
00:06:38.850,00:06:42.840,maybe that's the reason why scientists have been studying the effects of,0.0
00:06:42.840,00:06:47.880,negative ions on human health for nearly a century.,-0.5719
00:06:47.880,00:06:49.710,So let's consider the evidence...,0.0
00:06:49.710,00:06:54.000,In one study people suffering from seasonal affective disorder were,-0.7003
00:06:54.000,00:06:57.630,randomly assigned to one of three treatment groups: bright light therapy,0.4404
00:06:57.630,00:07:02.600,high concentrations of negative ions or low concentrations of negative ions.,-0.8591
00:07:02.600,00:07:07.050,They found that both bright light therapy and high-density negative ions independently,-0.2023
00:07:07.050,00:07:11.280,"produced antidepressant effects, but not low density negative ions.",0.7366
00:07:11.280,00:07:17.310,"In another study, participants in a high-density negative ion environment had significantly faster",-0.5719
00:07:17.310,00:07:23.000,reaction times and reported being more energetic than those in an ambient air control.,0.4927
00:07:23.000,00:07:27.060,"Now if all this sounds too subjective, EEG experiments showed people",0.0
00:07:27.060,00:07:31.860,exposed to high-density negative ions had a slower alpha wave frequency with,-0.6124
00:07:31.860,00:07:36.510,"higher amplitude. Participants also reported increased relaxation, alertness,",0.6705
00:07:36.510,00:07:41.010,and improved working capacity. And opposite results have been found with,0.4767
00:07:41.010,00:07:44.970,positive ions. In one study volunteers were exposed to high concentrations of,0.5106
00:07:44.970,00:07:50.010,positive ions for two hours. Symptoms of anxiety and excitement significantly,0.7269
00:07:50.010,00:07:55.200,increased. During the time of exposure serum serotonin levels also increased,0.4939
00:07:55.200,00:07:59.850,significantly. This has even been taken into real-world work environments. An,0.0
00:07:59.850,00:08:03.300,air ionizer was fitted to the air-conditioning unit in an office,0.0
00:08:03.300,00:08:07.890,building and periodically turned on and off over 12 weeks. When the ionizer was,0.0
00:08:07.890,00:08:12.480,"pumping out negative ions, workers reported 50% fewer headaches. They also",-0.5719
00:08:12.480,00:08:17.580,"reported increased alertness, perceived atmospheric freshness, and environmental",0.2732
00:08:17.580,00:08:22.560,and personal warmth. It's feeling it's feeling pretty hot it's been on for an,0.802
00:08:22.560,00:08:28.830,hour? yeah. So the question is can a salt lamp generate negative ions? let's check,-0.4329
00:08:28.830,00:08:32.140,for negative ions? -let's look again,-0.5719
00:08:34.100,00:08:35.600,Doesn't look like it.,-0.2755
00:08:35.600,00:08:41.520,"But, I mean there's not even like a background.",-0.395
00:08:44.000,00:08:47.280,"No, there's not... it's just like",-0.2755
00:08:47.280,00:08:51.100,it's not even sitting there.,0.0
00:08:51.100,00:08:54.930,So your conclusion after testing this device is,0.0
00:08:54.930,00:09:00.200,that it's producing no negative ions. -We're certainly not able to detect any negative ions.,0.1774
00:09:00.200,00:09:04.080,The idea for how these salt lamps are meant to create negative,-0.3818
00:09:04.080,00:09:08.760,ions is that water molecules are meant to land on the surface and liberate,0.0
00:09:08.760,00:09:11.100,chloride ions from the lattice.,0.0
00:09:11.100,00:09:14.220,But ask any chemist worth their salt and they'll,0.3291
00:09:14.220,00:09:18.660,tell you the energy required to do this is way too high so it just doesn't,0.2732
00:09:18.660,00:09:20.340,happen.,0.0
00:09:20.340,00:09:24.180,What I find ironic is that there are crystals which when heated will,-0.128
00:09:24.180,00:09:27.750,produce ions. It's just that salt doesn't have the,0.0
