Start Time,End Time,Text,sentiment-score
00:00:07.220,00:00:10.559,"Hey, Vsauce. Michael here. I am",0.0
00:00:10.559,00:00:13.960,distorted. The pixels you are watching have been,-0.4019
00:00:13.960,00:00:18.180,time displaced. They've been mapped onto a gradient,0.0
00:00:18.180,00:00:21.779,"and the darker the region they're mapped to, the further behind",0.0
00:00:21.779,00:00:25.590,they lag. The effect is really fun but it's certainly,0.5714
00:00:25.590,00:00:28.590,not realistic. Or is it?,0.0
00:00:31.230,00:00:35.820,"Many, many popular digital cameras suffer from lag induced distortion,",-0.4767
00:00:35.820,00:00:39.020,"like what you just saw, though much,",0.3612
00:00:39.020,00:00:42.460,much more subtle. Usually completely,0.0
00:00:42.460,00:00:45.710,unnoticeable. It's called a rolling shutter.,0.0
00:00:45.710,00:00:48.790,Instead of snapping a full exposure at once,0.0
00:00:48.790,00:00:52.199,they quickly scan strips of each frame. It's,0.0
00:00:52.199,00:00:56.710,usually undetectable. But when the subject changes faster than the camera,0.0
00:00:56.710,00:00:57.550,"scans,",0.0
00:00:57.550,00:01:03.210,you get the famous geloey wobbly rolling  shutter effect. Really fast,0.0
00:01:03.210,00:01:06.800,"things, like vibrating guitar strings and airplane propellers,",0.3612
00:01:06.800,00:01:11.710,"are famous victims, but people can be too. Luke Mandel submitted this photo",-0.1655
00:01:11.710,00:01:16.619,"to Boing Boing[.net]. His camera scans left to right and, in this instance,",0.0
00:01:16.619,00:01:20.210,"managed to capture a blink, eyes closed",0.0
00:01:20.210,00:01:25.170,when the scan began and then open in the reflection scanned a fraction,0.0
00:01:25.170,00:01:28.740,of a second later. But the rolling shutter effect,0.0
00:01:28.740,00:01:32.700,is not just a neat curiosity. It represents,-0.357
00:01:32.700,00:01:36.130,a fundamental and inescapable distortion that,0.0
00:01:36.130,00:01:39.710,affects everything we see. Rolling shutter,0.0
00:01:39.710,00:01:44.119,"or not. First things first, let's talk about distortions.",0.0
00:01:44.119,00:01:47.409,A hallucination is a distortion of reality,0.0
00:01:47.409,00:01:51.390,when there is no apparent stimulus. If you are merely,-0.296
00:01:51.390,00:01:55.700,"misinterpreting an actual stimulus, that is an illusion.",0.0
00:01:55.700,00:01:59.909,But some distortions occur before our sense organs,0.0
00:01:59.909,00:02:03.180,and minds get in the way. They are called,0.0
00:02:03.180,00:02:08.340,optical phenomena. They are not the result of sensation or perception gone wrong.,-0.4767
00:02:08.340,00:02:13.660,"Instead, optical phenomena are distortions caused by the mere properties of light",0.0
00:02:13.660,00:02:14.500,and matter,0.0258
00:02:14.500,00:02:17.970,in and of themselves. If you look up at the sky,0.0
