Start Time,End Time,Text,sentiment-score
00:00:00.930,00:00:06.910,"Hey, Vsauce. Michael here. Love",0.6369
00:00:06.910,00:00:10.980,and war are exactly alike. It is lawful,-0.5994
00:00:10.980,00:00:14.700,to use tricks and slights to obtain a desired,0.1531
00:00:14.700,00:00:18.160,end. But is all fair,0.4497
00:00:18.160,00:00:21.160,"in love and war? That's a good question,",0.4939
00:00:21.160,00:00:24.619,let's pencil it in for,0.0
00:00:24.620,00:00:26.350,this episode.,0.0
00:00:26.350,00:00:30.160,"Of course, pencil is not permanent. It can be erased.",0.0
00:00:30.160,00:00:34.470,It's not like whatever I write down is being chiseled into granite.,-0.2755
00:00:34.470,00:00:38.180,But pencil lead is made out of carbon,0.0
00:00:38.180,00:00:42.090,atoms organised into a structure called graphite -,0.0
00:00:42.090,00:00:46.430,a nonmetallic mineral with some metallic properties found naturally,0.0
00:00:46.430,00:00:50.580,"in rocks, which means things written in pencil,",0.0
00:00:50.580,00:00:54.030,"though erasable, are still technically written",0.0
00:00:54.030,00:00:57.520,in stone. In video games,0.0
00:00:57.520,00:01:02.100,"if the bad guys really wanted to stop you, why did they walk around in such",-0.7152
00:01:02.100,00:01:03.640,predictable patterns?,0.0
00:01:03.640,00:01:07.000,Wouldn't their chances be better if they just came right at you?,0.32
00:01:07.000,00:01:10.110,There's a great name for this logic:,0.6249
00:01:10.110,00:01:14.030,"""mook chivalry"". It's as if there's a sort of",0.0
00:01:14.030,00:01:17.860,unwritten Geneva Convention that applies to fictional baddies,0.0
00:01:17.860,00:01:21.390,"that respects not reality, or what would make sense,",0.3182
00:01:21.390,00:01:24.650,"but instead the higher purpose of fun,",0.6652
00:01:24.650,00:01:27.890,and a good story. But in real life,0.2382
00:01:27.890,00:01:30.930,we aren't that much different from the mooks.,0.0
00:01:30.930,00:01:34.330,We construct voluntary obstacles in the way,-0.3818
00:01:34.330,00:01:37.930,"of even honourable goals, like truth, justice,",0.8834
00:01:37.930,00:01:41.630,or right over wrong. Not all is fair,-0.6202
00:01:41.630,00:01:46.090,in love and war. And it's the exceptions that make us who we are.,0.0772
00:01:46.090,00:01:49.270,Torturing your enemies to,-0.802
00:01:49.270,00:01:52.820,"get information from them, to demoralise them, or just for",0.0
00:01:52.820,00:01:56.170,"fun has been a ""might",0.5106
00:01:56.170,00:01:59.600,"is right"" part of war since war began.",-0.8316
00:01:59.600,00:02:02.960,"But in the second half of the 19th century, Henry Dunant,",0.0
00:02:02.960,00:02:07.220,the founder of the Red Cross organized an official moral code,0.0
00:02:07.220,00:02:10.380,"of warfare - The Geneva Conventions, that today",-0.296
00:02:10.380,00:02:14.680,across it's now 4 conventions has been agreed to be followed,0.2732
00:02:14.680,00:02:18.300,by 196 nations. And since then,0.0
00:02:18.300,00:02:22.270,"various other customs, codes and principles have been established",0.0
00:02:22.270,00:02:25.580,"totaling up into what may now be called the ""Rules",0.0
00:02:25.580,00:02:29.560,"of war"". Their enforcement is handled by regional,",-0.5994
00:02:29.560,00:02:32.660,"national and international powers. Of course,",0.0
00:02:32.660,00:02:36.020,an unconcerned force would simply ignore these rules,-0.5267
00:02:36.020,00:02:39.300,because the quickest route to victory is the one full,0.0
00:02:39.300,00:02:42.470,"of unfair advantages, but nonetheless",-0.0772
00:02:42.470,00:02:45.870,"we treasure them. Try to, at least. And believe that all",0.296
00:02:45.870,00:02:49.110,others should. The values they recognise,0.4019
