Start Time,End Time,Text,sentiment-score
00:00:08.607,00:00:12.145,Being impressed by the cognitive abilities of a chimpanzee,0.6249
00:00:12.178,00:00:15.081,"isn't just good for them, it is good for us,",0.1265
00:00:15.114,00:00:18.684,because it helps us learn about our own evolutionary history.,0.3818
00:00:18.717,00:00:23.289,Comparing the psychology of humans to the psychology of other primates,0.0
00:00:23.322,00:00:28.728,"is a great way to illuminate what it is we maintained, lost, or changed",0.4215
00:00:28.761,00:00:31.464,as our brains diverged from other primates.,0.0
00:00:31.497,00:00:35.735,"Now, I'm really excited right now, because in the spirit of sharing,",0.7346
00:00:35.768,00:00:38.237,The Primate Research Institute has agreed to show me,0.2732
00:00:38.270,00:00:40.573,some of the other ways they're learning about us,0.0
00:00:40.606,00:00:45.144,by studying those who are<i> almost</i> us.,0.0
00:00:45.177,00:00:47.246,<i> I'm heading to the  parasite lab to meet up</i>,0.0
00:00:47.279,00:00:49.615,<i> with associate professor  Andrew McIntosh</i>,0.0
00:00:49.648,00:00:51.784,<i> and doctoral student  Cecile Serabian.</i>,0.0
00:00:51.817,00:00:55.421,<i> Their work with  Japanese macaques has  led them to theorize</i>,0.0
00:00:55.454,00:00:58.591,<i> that primates' feelings  of repulsion or disgust</i>,0.0
00:00:58.624,00:01:01.828,<i> could have served a protective  purpose in our evolution.</i>,0.0
00:01:01.861,00:01:04.764,"<i> To study disgust,  we will be working with</i>",-0.5994
00:01:04.797,00:01:09.669,<i> one the most famous  disgust inducers: poop.</i>,-0.6344
00:01:09.702,00:01:12.705,"Andrew, Cecile, thank you for meeting up with me,",0.3612
00:01:12.738,00:01:18.177,I can now tell people that my time in Japan was crappy.,-0.5574
00:01:18.210,00:01:19.044,[both chuckle],0.4019
00:01:19.078,00:01:20.847,[Andrew] Just like every day for us.,0.3612
00:01:20.880,00:01:23.483,"So tell me, why is there a bunch of poop on the table?",0.0
00:01:23.516,00:01:26.819,Because we were studying the social behavior,0.0
00:01:26.852,00:01:29.188,and parasite infection of the macaques.,0.0
00:01:29.221,00:01:30.290,[Cecile continues],0.0
00:01:34.493,00:01:35.829,Right.,0.0
00:01:43.903,00:01:47.440,If we want to say that humans are somehow especially hygienic,0.0772
00:01:47.473,00:01:52.411,or disgusted by those kinds of objects that might make us sick,-0.7717
00:01:52.444,00:01:54.914,It's quite difficult to separate whether that's,-0.4201
00:01:54.947,00:01:57.416,an evolutionary response to something,0.0
00:01:57.449,00:02:00.586,or just a cultural phenomenon that we've kind of created on our own.,0.1796
00:02:00.619,00:02:04.323,[Michael] Now these are clearly toys.,0.4019
00:02:04.356,00:02:05.625,They're made of plastic.,0.0
00:02:05.658,00:02:07.894,These look kind of different.,0.0
00:02:07.927,00:02:10.496,"Okay, so you have different types here on the table.",0.2263
00:02:10.529,00:02:12.598,This is the type for carnivores--,0.0
00:02:12.631,00:02:14.167,it's not the type of primates.,0.0
00:02:14.200,00:02:17.370,Primates have a long-shape type of poop.,0.0
00:02:17.403,00:02:19.205,It's called type 9.,0.0
00:02:19.238,00:02:21.240,"-So those are all-- -Wait, poops have numbers?",0.0
00:02:21.273,00:02:24.177,-[both chuckle] -I only know number 2.,0.4588
00:02:24.210,00:02:30.283,Why make play poop when you have plenty of chimps out there giving you real poop to use?,0.5859
00:02:34.420,00:02:35.355,Ah.,0.0
00:02:38.457,00:02:41.661,"-So there's no odor or texture here. -Yeah, exactly.",0.0
00:02:41.694,00:02:44.697,And what differences did you see?,0.0
00:02:46.232,00:02:47.567,[Cecile continues],0.0
00:02:56.508,00:03:00.380,"Ah, so it's like a surface to put the food on top of.",0.5542
00:03:07.386,00:03:09.689,-They would avoid the replica? -Yes.,0.128
00:03:09.722,00:03:11.324,[Cecile continues],0.0
00:03:14.927,00:03:17.964,"[Michael] Oh, really? Right, right.",0.0
00:03:17.997,00:03:21.334,If you expose a bunch of individuals to a range of different kinds of,-0.1531
00:03:21.367,00:03:23.803,avoidance experiments we found that,-0.4019
00:03:23.836,00:03:26.305,those individuals that are much more hygienic,0.0
00:03:26.338,00:03:28.441,"actually were exhibiting lower infection, so...",-0.296
00:03:28.474,00:03:32.411,It sounds like a really strong argument in support of the idea that we,0.7197
00:03:32.444,00:03:34.647,evolved an emotion like disgust,-0.34
00:03:34.680,00:03:38.417,- or a behavior like avoidance of infectious-looking stuff. -<i> Mm-hmm.</i>,-0.0516
00:03:38.450,00:03:41.020,-Because it had an advantage.,0.25
00:03:41.053,00:03:42.655,-You get infected less. -[Andrew] That's right.,-0.4939
00:03:42.688,00:03:44.924,So you have some kind of experiment for me?,0.0
00:03:44.957,00:03:46.692,-Yep. -Is it safe?,0.6249
00:03:46.725,00:03:49.695,-Let's see. -Don't play that way! -[all laugh],0.4322
00:03:49.728,00:03:54.867,<i> Cecile and Andrew wanted  to show me just how hard-wired  our sense of disgust is.</i>,-0.5994
00:03:54.900,00:03:56.836,[Cecile] There you go.,0.0
00:03:58.470,00:03:59.672,Okay. Those are edible?,0.2263
00:03:59.705,00:04:01.741,"-Yes, those are edible. -Mm-hmm.",0.4019
00:04:01.774,00:04:06.979,-I'm just going to place one in each of the holes here. -Okay.,0.2263
00:04:07.012,00:04:10.483,"If you are ready to eat them, just try to reach out for them.",0.3818
00:04:10.516,00:04:11.651,Okay.,0.2263
00:04:17.389,00:04:19.825,Okay. Good. Good.,0.7717
00:04:19.858,00:04:22.495,What do I do once I pull the treat out?,0.4019
00:04:22.528,00:04:25.665,"You will tell us whether you are ready to eat it or not, basically.",0.3612
00:04:25.698,00:04:27.433,"Oh, okay.",0.2263
00:04:27.466,00:04:29.035,"-So, you'll put one in there. -One goes here.",0.0
00:04:29.068,00:04:30.836,Sure.,0.3182
00:04:30.869,00:04:33.873,-One goes here... -Okay.,0.2263
00:04:33.906,00:04:35.908,And one goes there.,0.0
00:04:35.941,00:04:38.411,"All right, I'm going to start right in the middle.",0.0
00:04:40.079,00:04:45.017,"Hmm. All right, so I might just blow on this before I eat it,",0.0
00:04:45.050,00:04:46.919,but I feel pretty ready to eat it.,0.8201
00:04:46.952,00:04:49.689,"-Yeah? -Because what I felt was dry,",0.296
00:04:49.722,00:04:52.692,"and it was solid, it was like a foam.",0.4767
00:04:53.659,00:04:54.827,Watch.,0.0
00:04:56.161,00:04:59.532,"-Okay. -Oh, it's really good. It's got kind of a coffee taste.",0.624
00:04:59.565,00:05:01.000,So far so good.,0.6213
00:05:01.033,00:05:02.502,I'm going to go to the left.,0.0
00:05:04.103,00:05:06.772,"No, I don't want this one.",-0.0572
00:05:06.805,00:05:09.875,"-Okay. -Whoa, you still went for it.",0.2263
00:05:09.908,00:05:11.677,I still pulled it out.,0.0
00:05:11.710,00:05:13.412,[sniffing],0.0
00:05:13.445,00:05:15.047,What was it?,0.0
00:05:15.080,00:05:18.818,So I'm just going to set it down. Okay.,0.2263
00:05:18.851,00:05:22.688,"Alright, it smells... it's kind of fishy.",0.25
00:05:22.721,00:05:25.424,"All right, now...",0.0
00:05:25.457,00:05:28.494,[chuckles knowingly],0.2732
00:05:28.527,00:05:31.030,I... okay.,0.2263
00:05:31.063,00:05:35.034,"I'll tell you what, that was disgusting in terms of how it felt,",-0.5267
00:05:35.067,00:05:39.538,"but when I see the color, I see this kind of bright green color",0.5284
00:05:39.571,00:05:42.708,that makes me feel less disgusted actually,-0.4779
00:05:42.741,00:05:45.044,because it's sort of a fun color and it reminds me,0.4601
00:05:45.077,00:05:47.680,that it probably isn't truly contaminated.,-0.3412
00:05:47.713,00:05:50.449,But this is the one that I'm least likely to want to eat.,0.1154
00:05:50.482,00:05:54.520,Even stronger than the visual cues or the olfactory cues,0.3818
00:05:54.553,00:05:58.557,it seemed that that touching some substrate like this,0.3612
00:05:58.590,00:06:00.393,gave us the strongest aversive response.,0.0772
00:06:00.426,00:06:01.127,Yeah.,0.296
00:06:01.160,00:06:03.028,So the first one you touched,0.0
00:06:03.061,00:06:05.598,-was this piece of foam here. -Yeah.,0.296
00:06:05.631,00:06:08.734,"-So yeah, it's basically dry. -Solid.",0.4215
00:06:08.767,00:06:12.705,"Um, then I think you went here, and that is called konnyaku.",0.0
00:06:12.738,00:06:15.941,"[Andrew] Yeah, konnyaku is a kind of starch-based gelatin",0.296
00:06:15.974,00:06:18.144,which is part of the cuisine here.,0.0
00:06:18.177,00:06:21.547,"You said it smelled fishy, so in here you probably have parts of seaweed.",0.0
00:06:21.580,00:06:23.616,"Yeah, right, that's where that's coming from.",0.296
00:06:23.649,00:06:26.485,"It's soft, a bit wet, but not very...",0.0
00:06:26.518,00:06:29.188,"-It's not sticking to me. -Not sticky, yeah.",-0.2235
00:06:29.221,00:06:33.426,And the last one here was what maybe kids in the '90s,0.0
00:06:33.459,00:06:35.528,including myself were playing with.,0.2023
00:06:35.561,00:06:36.896,A slime toy.,0.0
00:06:36.929,00:06:39.698,Which is like slimy and sticky.,0.3612
00:06:39.731,00:06:42.668,"And this, it's just so gooey.",0.0
00:06:42.701,00:06:45.638,"Well, and the fact that it's pink makes it so much more fun",0.7146
00:06:45.671,00:06:47.039,"than if it was like, brown.",0.3612
00:06:47.072,00:06:48.007,Mm-hmm.,0.0
00:06:48.040,00:06:50.075,"Now, the research you're doing with macaques,",0.0
00:06:50.108,00:06:51.744,is that something I could observe?,0.0
00:06:51.777,00:06:54.180,We'd be willing to take you out to the macaque habitat,0.0
00:06:54.213,00:06:57.016,and we could run some of these similar experiments with them,0.0
00:06:57.049,00:07:00.486,-for you to observe. -Ooh. I would love to. Yeah.,0.7506
