Start Time,End Time,Text,sentiment-score
00:00:00.149,00:00:05.060,"Happy 500,000!",0.6114
00:00:05.060,00:00:11.650,Thank you guys so much for subscribing to my channel and for joining me on this scientific,0.3612
00:00:11.650,00:00:12.650,adventure.,0.3182
00:00:12.650,00:00:16.049,"You know, if you got 500,000 people together and we all held hands in a line, it would",0.0
00:00:16.049,00:00:23.810,stretch from Sydney to Melbourne or from San Francisco to San Diego or from London to Inverness.,0.0
00:00:23.810,00:00:24.810,&gt;&gt; Oy.,0.0
00:00:24.810,00:00:27.449,What are you forming a line here for?,0.0
00:00:27.449,00:00:29.669,You are going to scare off Nessy.,-0.4939
00:00:29.669,00:00:30.669,&gt;&gt; Right.,0.0
00:00:30.669,00:00:32.470,So I suppose I should get down to answering your question.,0.0
00:00:32.470,00:00:33.470,Go ahead.,0.0
00:00:33.470,00:00:34.470,Hit me with your best shot.,0.6369
00:00:34.470,00:00:38.060,&gt;&gt; I understand that the sky is blue do to Rayleigh scattering.,0.0
00:00:38.060,00:00:42.780,Short wave lengths get scattered way more and blue light dominates because it is so,0.0516
00:00:42.780,00:00:43.780,short.,0.0
00:00:43.780,00:00:46.020,"If that is the case, why isn’t the sky violet?",0.0
00:00:46.020,00:00:47.820,"&gt;&gt; Ok, here is the thing.",0.0
00:00:47.820,00:00:49.440,The sky isn't really blue.,0.0
00:00:49.440,00:00:52.440,It is bluish white.,0.0
00:00:52.440,00:00:57.920,"So the sky is illuminated by the sun and the sun in its all colors, but not equally.",0.0
00:00:57.920,00:01:01.850,"The sun doesn’t emit that much red, nor does it emit that much violet.",0.0
00:01:01.850,00:01:04.860,Most of the light it emits is kind of in the greeny part of the spectrum.,0.0
00:01:04.860,00:01:10.080,"Now as you point out, due to Rayleigh scattering more of the shorter wavelengths arte scattered",0.0
00:01:10.080,00:01:14.610,"and that is why the sky looks blue, because it is basically the sun’s white spectrum",0.0
00:01:14.610,00:01:18.040,shifted a little bit towards the blue.,0.0
00:01:18.040,00:01:19.670,This is the spectrum of the blue sky.,0.0
00:01:19.670,00:01:21.210,"And, as you can see, it is quite broad.",0.0
00:01:21.210,00:01:24.500,"And, in fact, there is a fair amount of violet light in there.",0.3182
00:01:24.500,00:01:28.570,"But there is not as much violet light as there is blue light, because the sunlight that we",0.0
00:01:28.570,00:01:31.780,started with had much more blue than it has violet.,0.0
00:01:31.780,00:01:36.990,"&gt;&gt; If I have a lap top on the international space station with a hard disk drive in it,",0.1027
00:01:36.990,00:01:41.510,will the torque from its spinning cause the lap top to spin as well?&gt;&gt;,0.2023
00:01:41.510,00:01:45.979,"Well, by the law of conservation of angular momentum, yes, the lap top should spin.",0.6808
00:01:45.979,00:01:50.640,I did a quick back of the envelope calculation and I found that if you spun up your hard,-0.1027
00:01:50.640,00:01:57.470,"disk from rest up to 5400 rpm, then it would cause the laptop to spin in the opposite direction",0.0
00:01:57.470,00:02:02.869,at a rate hat would cause it to do about one revolution every 17 seconds.,0.0
00:02:02.869,00:02:06.930,&gt;&gt; What would happen if you poured liquid oxygen on a fire?,-0.34
00:02:06.930,00:02:08.720,&gt;&gt; Kaboom?,0.0
00:02:08.720,00:02:13.749,"&gt;&gt; Say you were able to pass the event horizon a black hole and come back, what would coming",0.0
00:02:13.749,00:02:16.769,back look like of the person and for an observer?,0.3612
00:02:16.769,00:02:21.500,"&gt;&gt; Well, to an outside observer it would look as though you never came back at all.",0.2732
00:02:21.500,00:02:25.950,"And to the person it would look as though you didn’t come back either, because once",0.0
00:02:25.950,00:02:28.279,"you are passed the event horizon, that is it.",0.0
00:02:28.279,00:02:31.779,Your entire future lies within the black hole.,-0.4215
00:02:31.779,00:02:36.030,"And it will only be a matter of seconds before you are in the singularity, the very core",0.0258
00:02:36.030,00:02:39.419,of this black hole and you are no longer.,-0.296
00:02:39.419,00:02:44.909,"Now if you could bring a rocket back with you and try to fight it, if you tried to accelerate",-0.3818
00:02:44.909,00:02:51.010,"away from the black hole, you would find that you actually live for less time.",0.0
00:02:51.010,00:02:57.269,"You might see more space, but your time would pass more slowly and so you would end up in",0.0
00:02:57.269,00:02:59.750,the singularity sooner.,0.0
00:02:59.750,00:03:03.970,So I guess the lesson is don’t fight it.,-0.3818
00:03:03.970,00:03:07.379,"If you want to live longer, just relax and go with it.",0.4939
00:03:07.379,00:03:10.749,&gt;&gt; You have met a lot of interesting people on your adventures.,0.6249
00:03:10.749,00:03:13.800,But is there someone specific that you would love to meet?,0.7783
00:03:13.800,00:03:19.739,"&gt;&gt; I would love to meet Bill Nye, Neil DeGrasse Tyson, Richard Dawkins and President Obama",0.6369
00:03:19.739,00:03:21.540,as a non scientist inclusion.,0.0
