Start Time,End Time,Text,sentiment-score
00:00:00.560,00:00:02.780,"Hey, Vsauce. Michael here.",0.0
00:00:02.780,00:00:06.780,"A human, running like a quadruped, is creepy.",0.3612
00:00:06.790,00:00:10.660,Artist Rui Martins created this animation,0.25
00:00:10.660,00:00:15.219,about a year ago. 127 years ago,0.0
00:00:15.219,00:00:21.020,Eadweard Muybridge shot these real images of a child with infantile paralysis,0.0
00:00:21.020,00:00:24.640,walking on all fours. Walking upright,0.0
00:00:24.640,00:00:29.800,"looks less unnatural, our bodies are particularly well suited for it. It's one",0.3384
00:00:29.800,00:00:30.640,of the things,0.0
00:00:30.640,00:00:34.010,the bulbous and prominent,0.3182
00:00:34.010,00:00:38.940,human bottom helps us do. But let's get to the bottom,0.2023
00:00:38.940,00:00:42.020,of a linguistic mystery. Why is the bottom,0.0
00:00:42.020,00:00:46.160,"called a bottom, when it's in the middle of the body?",0.0
00:00:46.160,00:00:49.230,Your feet and legs are almost always,0.0
00:00:49.230,00:00:53.270,"at the same level or below your bottom. I mean, except for",0.0
00:00:53.270,00:00:56.840,"Navasana, the yoga boat pose, your bottom is",0.0
00:00:56.840,00:01:00.309,anything but the actual bottom of your body.,0.0
00:01:00.309,00:01:04.049,"Unfortunately, there is no clear-cut",-0.5574
00:01:04.049,00:01:07.799,"answer, but there are butt loads of cool things to learn",0.4497
00:01:07.799,00:01:14.040,about butts. A buttload is not just a joke amount. It is a very specific,-0.2235
00:01:14.040,00:01:18.189,"unit of measurement. Historically, it was used to describe the capacity",0.0
00:01:18.189,00:01:21.450,of a wine cask. A butt is about,0.0
00:01:21.450,00:01:24.520,"477 litres, which means,",0.0
00:01:24.520,00:01:27.689,given the average volume of solid waste,-0.296
00:01:27.689,00:01:30.780,"the rectum holds, when a person says they have a",0.0
00:01:30.780,00:01:34.369,"buttload of something... Technically,",0.0
00:01:34.369,00:01:37.640,they are saying they have enough of that thing to fill,0.0
00:01:37.640,00:01:42.409,"3,200 butts. Using the word",0.0
00:01:42.409,00:01:46.670,bottom to refer to your posterior is relatively new.,0.0
00:01:46.670,00:01:51.590,Cedric Watts has presented evidence that in the late 16th century bottom could,0.0
00:01:51.590,00:01:53.130,"connote the human rear end,",0.0
00:01:53.130,00:01:57.740,but the first published use wasn't until 1794,0.0
00:01:57.740,00:02:00.020,in Erasmus Darwin's 'Zoonomia'.,0.0
00:02:00.030,00:02:03.159,The word bottom comes from words meaning,0.0
