Start Time,End Time,Text,sentiment-score
00:00:00.060,00:00:04.500,almost eight years ago when this channel was fresh and before I had gray hairs in,0.3182
00:00:04.500,00:00:09.660,my beard in fact before I had a beard I made a video showing that if you take a,0.0
00:00:09.660,00:00:14.340,grape and cut it almost completely in half and put it in the microwave you can,-0.2732
00:00:14.340,00:00:18.200,make some plasma,0.0
00:00:21.200,00:00:25.380,but the explanation we had in that video was lacking this was,0.0
00:00:25.380,00:00:28.980,me and my friend Dr. Stephen Bosi a fellow physicist so you should look,0.4939
00:00:28.980,00:00:33.059,forward to that on another episode of veritasium to be honest nobody really,0.5106
00:00:33.059,00:00:39.390,knew how this effect worked that is until now as of the publication of this,0.0
00:00:39.390,00:00:43.440,video three scientists have published an explanation in the Proceedings of the,0.0
00:00:43.440,00:00:47.010,National Academy of Sciences they studied this effect with high-speed,0.0
00:00:47.010,00:00:51.449,cameras thermal cameras electromagnetic modeling and they came up with an,0.0
00:00:51.449,00:00:54.989,explanation that I think is pretty satisfying and it extends way beyond,0.7717
00:00:54.989,00:01:00.539,just microwave great plasma so naturally I called up these scientists yeah,0.743
00:01:00.539,00:01:05.519,actually saw your video before that your videos before joining the grape project,0.0
00:01:05.519,00:01:08.310,oh really that's why I was like already kind of,0.3612
00:01:08.310,00:01:12.000,like interested before joining the project the scientists showed you don't,0.6369
00:01:12.000,00:01:16.710,even need to use a grape you can get the same effect with hydrogel water beads,0.0
00:01:16.710,00:01:20.490,these are those tiny polymer beads which when you soak in water they increase in,0.3182
00:01:20.490,00:01:24.140,volume like 100 times,0.3612
00:01:28.620,00:01:33.820,to understand how microwaving a grape gives you plasma we first need to know a,0.0
00:01:33.820,00:01:38.530,few things like a typical household microwave uses a frequency of,0.3612
00:01:38.530,00:01:43.570,electromagnetic radiation at about two point four five gigahertz that means,0.0
00:01:43.570,00:01:49.509,that the wavelength of microwaves inside the oven is about twelve centimeters,0.0
00:01:49.509,00:01:53.050,long. now if you've ever studied electromagnetic radiation you might have,0.0
00:01:53.050,00:01:57.490,the intuition that interesting things start to happen when the object or,0.4019
00:01:57.490,00:02:03.039,obstacle is around the same size as the wavelength which a grape certainly is not,-0.0258
